Month,"Tarbela Storage 
Monthly Average (MAF)","Mangla Storage 
Monthly Average (MAF)",Combine
Apr-15,2.028366667,3.0719,5.100266667
May-15,2.928806452,4.943129032,7.871935484
Jun-15,2.338866667,5.890833333,8.2297
Jul-15,4.478225806,6.630129032,11.10835484
Aug-15,6.402612903,7.215677419,13.61829032
Sep-15,5.199933333,6.692133333,11.89206667
Oct-15,3.576580645,5.538354839,9.114935484
Nov-15,4.069233333,4.665833333,8.735066667
Dec-15,3.402483871,3.507903226,6.910387097
Jan-16,3.447967742,3.442483871,6.890451613
Feb-16,2.996034483,2.351965517,5.348
Mar-16,1.650322581,1.029,2.679322581
Apr-16,2.722233333,1.757633333,4.479866667
May-16,1.831,2.885258065,4.716258065
Jun-16,2.544066667,4.704,7.248066667
Jul-16,4.391967742,6.013516129,10.40548387
Aug-16,5.492580645,7.169225806,12.66180645
Sep-16,5.127966667,6.1941,11.32206667
Oct-16,3.981322581,4.357935484,8.339258065
Nov-16,2.638933333,2.8712,5.510133333
Dec-16,0.894935484,1.15283871,2.047774194
Jan-17,0.936096774,0.685354839,1.621451613
Feb-17,0.93025,0.764178571,1.694428571
Mar-17,0.082903226,0.173290323,0.256193548
Apr-17,0.1517,0.9467,1.0984
May-17,0.657774194,1.614612903,2.272387097
Jun-17,1.599,3.375066667,4.974066667
Jul-17,3.708580645,5.256193548,8.964774194
Aug-17,5.779709677,6.625032258,12.40474194
Sep-17,4.712633333,5.730333333,10.44296667
Oct-17,2.942580645,3.7159,6.658480645
Nov-17,2.024266667,2.413633333,4.4379
Dec-17,1.179193548,0.932709677,2.111903226
Jan-18,1.336741935,0.730709677,2.067451613
Feb-18,0.719142857,0.416785714,1.135928571
Mar-18,0.000387097,0.040870968,0.041258065
Apr-18,0.088033333,0.185033333,0.273066667
May-18,0.034290323,0.277290323,0.311580645
Jun-18,0.7702,0.5699,1.3401
Jul-18,1.27816129,1.057451613,2.335612903
Aug-18,5.407580645,2.446354839,7.853935484
Sep-18,5.0659,2.911633333,7.977533333
Oct-18,2.733,2.12016129,4.85316129
Nov-18,1.722766667,1.646166667,3.368933333
Dec-18,0.602935484,0.784,1.386935484
Jan-19,0.820258065,0.679225806,1.499483871
Feb-19,0.55125,0.874892857,1.426142857
Mar-19,0.01683871,0.837419355,0.854258065
Apr-19,0.377566667,1.360466667,1.738033333
