Year,Population (M),Total Availability,Agri Availability,Domestic Availability,Industrial Availability,,,,,,,,,,,
2031,281.22,116.52,107.95,6.12,2.45,,,,,,,,,,,
2032,286.84,116.72,107.98,6.24,2.5,,,,,,,,,,,
2033,292.58,116.91,108,6.37,2.55,,,,,,,,,,,
2034,298.43,117.11,108.02,6.49,2.6,,,,,,,,,,,
2035,304.4,117.31,108.03,6.62,2.65,,,,,,,,,,,
2036,310.49,117.5,108.04,6.75,2.7,,,,,,,,,,,
2037,316.7,117.7,108.05,6.89,2.76,,,,,,,,,,,
2038,323.03,117.89,108.05,7.02,2.81,,,,,,,,,,,
2039,329.49,118.09,108.05,7.16,2.86,,,,,,,,,,,
2040,336.08,118.29,108.05,7.3,2.92,,,,,,,,,,,
2041,342.81,118.48,108.04,7.44,2.98,,,,,,,,,,,
2042,349.66,118.68,108.02,7.59,3.04,,,,,,,,,,,
2043,356.66,118.87,108.01,7.74,3.1,,,,,,,,,,,
2044,363.79,119.07,107.99,7.89,3.16,,,,,,,,,,,
2045,371.06,119.27,107.96,8.05,3.22,,,,,,,,,,,
2046,378.49,119.46,107.93,8.24,3.29,,,,,,,,,,,
2047,386.06,119.66,107.9,8.4,3.36,,,,,,,,,,,
