Year,Domestic&Industrial_Supply(MAF),Domestic&Industrial_Demand(MAF),Irrigation_Supply(MAF),Irrigation_Demand(MAF)
2025,8.31,11,155,240
2026,8.4762,11.22,158.1,244.8
2027,8.645724,11.4444,161.26,249.7
2028,8.81863848,11.673288,164.49,254.69
2029,8.99501125,11.90675376,167.78,259.78
2030,9.174911475,12.14488884,171.13,264.98
2031,9.358409704,12.38778661,174.56,270.28
2032,9.545577898,12.63554234,178.05,275.68
2033,9.736489456,12.88825319,181.61,281.2
2034,9.931219245,13.14601825,185.24,286.82
2035,10.12984363,13.40893862,188.94,292.56
2036,10.3324405,13.67711739,192.72,298.41
2037,10.53908931,13.95065974,196.58,304.38
2038,10.7498711,14.22967293,200.51,310.47
2039,10.96486852,14.51426639,204.52,316.67
2040,11.18416589,14.80455172,208.61,323.01
2041,11.40784921,15.10064276,212.78,329.47
2042,11.63600619,15.40265561,217.04,336.06
2043,11.86872632,15.71070872,221.38,342.78
2044,12.10610084,16.0249229,225.81,349.63
2045,12.34822286,16.34542136,230.32,356.63
2046,12.59518732,16.67232978,234.93,363.76
2047,12.84709106,17.00577638,239.63,371.04
2048,13.10403289,17.34589191,244.42,378.46
2049,13.36611354,17.69280974,249.31,386.02
2050,13.63343581,18.04666594,254.29,393.75
