Years,Population (millions),Water Availability-IRSA,RCP 4.5 Precipitation Anomaly (mm),RCP 4.5 Temperature Anomaly (C),Per Capita Surface Water Availability (m³/person/year),RCP 4.5 Temperature Anomaly (*100),Surface + GW Net Water Availability,Per Capita Water (S+GW) Availability (m³/person),Water Availability (MAF) Post Disaster
1976,73.6,154.797,,,2103.220109,,204.797,3432.241896,
1977,75.4,139.957,,,1856.193634,,189.957,3107.535283,
1978,77.3,183.448,,,2373.195343,,233.448,3725.141514,
1979,79.2,137.104,,,1731.111111,,187.104,2914.003055,
1980,80.6,145.229,,,1801.848635,,195.229,2987.730359,
1981,83.8,147.841,,,1764.212411,,197.841,2912.087311,
1982,86.7,120.317,,,1387.739331,,170.317,2423.098191,
1983,89.7,157.456,,,1755.362319,,207.456,2852.762841,
1984,92.8,139.641,,,1504.752155,,189.641,2520.672206,
1985,96,123.613,,,1287.635417,,173.613,2230.710034,
1986,99.3,152.985,,,1540.634441,,202.985,2521.429384,
1987,102.7,144.077,,,1402.891918,,194.077,2330.964927,
1988,106.2,177.981,,,1675.903955,,227.981,2647.928473,
1989,109.8,134.337,,,1223.469945,,184.337,2070.819697,
1990,115.4,175.017,,,1516.611785,,225.017,2405.147046,
1991,119.2,176.765,,,1482.927852,,226.765,2346.561176,
1992,123.1,179.167,,,1455.458976,,229.167,2296.286849,
1993,127.1,133.876,,,1053.312352,,183.876,1784.479689,
1994,131.2,178.655,,,1361.699695,,228.655,2149.705559,
1995,133.1,173.996,,,1307.257701,,223.996,2075.842119,
1996,137.5,159.9,,,1162.909091,,209.9,1882.963287,
1997,141.9,151.693,,,1069.01339,,201.693,1753.236657,
1998,143.2,151.869,,,1060.537709,,201.869,1738.836411,
1999,148.6,132.131,,,889.1722746,,182.131,1511.809865,
2000,154.4,103.975,,,673.4132124,,153.975,1230.084734,
2001,158.9,99.048,,,623.3354311,,149.048,1157.002687,
2002,163.5,118.888,,,727.1437309,,168.888,1274.128258,
2003,168.3,138.82,,,824.8366013,,188.82,1383.872214,
2004,173.2,113.538,,,655.5311778,,163.538,1164.670048,
2005,178.2,146.366,,,821.3580247,,196.366,1359.222972,
2006,183.3,144.347,,,787.4904528,,194.347,1307.818536,
2007,188.5,127.677,,,677.331565,,177.677,1162.657963,
2008,193.9,122.966,,,634.1722537,,172.966,1100.309962,
2009,194.5,120.513,,,619.6041131,,170.513,1081.359256,
2010,197.5,163.665,470,1.7,828.6835443,170,213.665,1334.437996,
2011,200,125.393,400,0.1,626.965,10,175.393,1081.718788,
2012,205.6,125.506,200,0.5,610.4377432,50,175.506,1052.933565,
2013,208.2,148.169,-5,1.8,711.6666667,180,198.169,1174.051384,
2014,210.969298,138.785,210,2,657.8423473,200,188.785,1103.774454,
2015,212.969298,163.238,370,1.9,766.4835423,190,213.238,1235.036274,
2016,213.52484,135.155,0,1.8,632.9852004,180,185.155,1069.594476,
2017,216.6281595,130.082,165,2.5,600.4800812,250,180.082,1025.386293,
2018,219.731479,113.648,-82,2,517.216584,200,163.648,918.6509642,
2019,223.46411,139.948,185,1.8,626.2776336,180,189.948,1048.477355,
2020,227.196741,127.818,-100,1.9,562.5792254,190,177.818,965.3965355,
2021,231.5108015,116.117,15,1,501.5636474,100,166.117,885.0645233,
2022,235.824862,118.735,600,2.1,503.498431,210,168.735,882.5670289,
2023,240.5173385,131.318,360,-0.2,545.9753867,-20,181.318,929.8794342,
2024,245.209815,136.21,240,0.8,542.5961421,80,183.05,920.797212,
2025,249.962144,131.12,135,2,531.0049608,200,182.73,901.7117424,182.73
2026,254.714473,126,570,1.7,494.6802246,170,176,852.2973879,164
2027,259.52944,133.51,390,1.6,514.429931,160,183.51,872.1781806,183.51
2028,264.344407,118.8,105,1,449.4212,100,168.8,787.6520875,168.8
2029,269.1871215,138.5,410,1.8,514.5064824,180,188.5,863.7522431,183.5
2030,274.029836,130.54,-55,1,476.3712002,100,180.54,812.6577837,176.54
2031,278.902491,135.84,230,-0.3,487.0562926,-30,185.84,821.8998775,185.84
2032,283.775146,133.5,140,1.1,470.4348439,110,183.5,797.6159406,183.5
2033,288.660813,134.58,130,1.8,466.2232384,180,184.58,788.7310232,184.58
2034,293.54648,125.25,-100,1.5,426.6734798,150,175.25,736.3991215,168.25
2035,298.4346545,139.78,320,1.1,468.3845458,110,189.78,784.3922643,189.78
2036,303.322829,133.45,95,2.1,439.964394,210,183.45,746.0101396,183.45
2037,308.1724515,129,530,3.2,418.6001233,320,179,716.4589791,169
2038,313.022074,138.56,110,2.5,442.6554214,250,188.56,743.0306298,188.56
2039,317.8089205,140.27,215,2,441.3643372,200,190.27,738.4759346,190.27
2040,322.595767,141.35,235,1.7,438.172293,170,191.35,731.6475358,191.35
2041,327.284664,137.87,200,2.2,427.3710584,220,189.87,715.5876011,189.87
2042,331.973561,130.49,-100,2.1,393.0776877,210,180.49,670.6281203,170.49
2043,336.6120335,143.54,250,3.6,426.4282107,360,193.54,709.2073231,193.54
2044,341.250506,135.23,300,2,396.2783883,200,185.23,669.5301439,180.23
2045,345.797113,130.45,-88,2.8,377.2520894,280,180.45,643.6764728,168.45
2046,350.34372,138.43,150,1.9,395.1304447,190,188.43,663.4188745,188.43
2047,354.775923,140.98,210,2,397.3730199,200,190.98,663.9966106,190.98
2048,359.208126,129.43,550,3.2,360.3184767,320,179.43,616.1422874,169.43
2049,363.508297,134.56,100,2.1,370.1686336,210,184.56,626.2609978,184.56
2050,367.808468,144.25,280,3.5,392.1861831,350,194.25,651.4354911,194.25
