Agri_demand,avil_agri,Dom_indistial_demand,Dom_industrial_av,,,,,,,,,,,,,,,
7.4,5.64,0.8854,0.685,,,,,,,,,,,,,,,
9.305,7.02,0.872,0.68,,,,,,,,,,,,,,,
10.899,8.38,0.8988,0.72,,,,,,,,,,,,,,,
8.295,7.06,0.9122,0.745,,,,,,,,,,,,,,,
9.82,8.35,0.939,0.795,,,,,,,,,,,,,,,
16.181,13.44,0.9524,0.825,,,,,,,,,,,,,,,
17.67,15.44,0.9524,0.825,,,,,,,,,,,,,,,
17.789,15.16,0.939,0.8,,,,,,,,,,,,,,,
15.612,13.26,0.9256,0.765,,,,,,,,,,,,,,,
9.827,7.71,0.9122,0.73,,,,,,,,,,,,,,,
4.134,3.48,0.8988,0.675,,,,,,,,,,,,,,,
5.107,4.05,0.9122,0.675,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
